id;code;value;description;json;priority
1;Sausages;evolve;Mobility;Personal bypassing;10074
2;Sleek Granite driver;Markets;Washington solution Jamaica;array Car XSS;53473
3;Oklahoma De-engineered;synthesize Berkshire Concrete;Central plum;Burgs proactive SMS;12428
4;proactive;whiteboard Mouse;magenta Estate Berkshire;Mount Creative multi-byte;17232
5;Wooden;proactive;Associate streamline Dynamic;Multi-tiered Alabama;78236
6;Ergonomic whiteboard transmit;Salad;Unbranded;withdrawal;22498
7;yellow supply-chains;Rustic Implementation withdrawal;Buckinghamshire alliance;auxiliary Borders;94904
8;Tasty;Table extensible;quantify Infrastructure fault-tolerant;Supervisor invoice Account;71916
9;Up-sized;synergistic Fantastic;dynamic;Burundi Gloves unleash;3361
10;Small Global;Plastic International;integrated Island;sensor;76606
