id;name;description;store
1;payment;whiteboard copy;technologies Supervisor
2;Unit program;experiences program Toys;leading Identity
3;Administrator;purple;unleash Implementation
4;Health Ergonomic Cambridgeshire;auxiliary;Grocery
5;orange Operations;Frozen;drive
6;budgetary deposit;Fort RAM;Interactions Avon Assistant
7;Pound panel Investor;transmitter Representative Bedfordshire;calculating deposit
8;EXE Licensed 24/365;Automotive New;Montana Branding application
9;Pants;Indiana Frozen;compressing primary calculate
10;Group Fiji algorithm;Mauritius;AGP Small
